commit	date	subject	feature_id	classification	rationale
582923e0dc6a5dbfb65a2a43b4622fc44c92f06f	2026-06-08	chore: apply Mochi app identity overlay on upstream main	ops.fork-identity	behavior	Primary fork identity overlay; also carried shell environment branding and related fork defaults.
ce1935a339a0e8c2d18ad21734ed23bed3d12f59	2026-06-08	feat(codex): consume Mochi Codex ThreadUnsubscribe hook as session-end	agent.lifecycle-events	behavior	Historical implementation or invariant for agent.lifecycle-events.
bed4a5bc191e104b578739e310525329f0780801	2026-06-08	feat: add tab path actions (Reveal in Finder / Copy Path)	files.backed-tab-actions	behavior	Historical implementation or invariant for files.backed-tab-actions.
71b16393b08e8ed4b5b2a9b145887d407e6e60e6	2026-06-08	chore: complete Mochi app-name rebrand in dev/test scripts	ops.fork-identity	behavior	Historical implementation or invariant for ops.fork-identity.
81ae64a824c98f9c7eb449aca22d889ea6d9f4c8	2026-06-08	feat: capture live agent scrollback on hard quit (session continuity)	agent.scrollback-continuity	behavior	Historical implementation or invariant for agent.scrollback-continuity.
f8d278df45f039d4aaec4d339c88d1b72b5a144c	2026-06-08	feat: prefill agent resume command into the input instead of auto-running	agent.resume-modes	behavior	Historical implementation or invariant for agent.resume-modes.
64a56feb5b9947fd970096a9f6f47ad0d1f520db	2026-06-08	feat: re-add DEV badge overlay on the app icon for debug builds	ops.fork-identity	behavior	Historical implementation or invariant for ops.fork-identity.
39c689ec2ce0d8676442147b2ac98f995cc00751	2026-06-08	feat(sidebar): always-on CPU/memory readout in footer	task.resource-monitor	behavior	Historical implementation or invariant for task.resource-monitor.
2912be71dff0fb3cecdfcf9acabbfe6a26ddec30	2026-06-08	feat(browser): right-click New Browser button to open links externally	browser.external-routing	behavior	Historical implementation or invariant for browser.external-routing.
72d174c189b982ea6b8e0bc052f0128c4d2049a9	2026-06-08	feat(taskmanager): open Task Manager as a tab	task.resource-monitor	behavior	Historical implementation or invariant for task.resource-monitor.
48a58968032d1e8afe1f0cc8076c7e74e3c61273	2026-06-08	test: cover Mochi features (#1-#4) + fix test target wiring	history.release-churn	test-support	Mixed regression suite for the first Mochi feature set and test-target wiring; retained as historical test support.
779039212a1ff613cb37f9d2e95d3d06aaddce43	2026-06-08	fix(rebrand): pin PRODUCT_MODULE_NAME so cmuxTests compiles	ops.fork-identity	obsolete-infrastructure	Historical integration, rebase, or CI repair to re-evaluate rather than replay for ops.fork-identity.
97201088b07e59e022a5337dd16057106951eaa9	2026-06-08	fix(browser): remove BrowserLaunchTargetSettings observer in deinit	browser.external-routing	behavior	Historical implementation or invariant for browser.external-routing.
c42f5b68806387857300e2d579c352c95bc45ecb	2026-06-08	i18n: add string catalog entries for Task Manager strings	task.resource-monitor	docs-support	Historical documentation, skill, localization, or shipped messaging for task.resource-monitor.
c3e85d2591f9a98ed9054c53129c3ab2eff6a97f	2026-06-08	feat(taskmanager): full-area Task Manager page (special workspace)	task.resource-monitor	behavior	Historical implementation or invariant for task.resource-monitor.
59954b6c134a95c9955c3584948a1650b5bbadad	2026-06-08	fix(taskmanager): hide workspace portals behind full-area pages	task.resource-monitor	behavior	Historical implementation or invariant for task.resource-monitor.
7672937a9f3acaf74785e7c035ebfdf6c117afc0	2026-06-08	feat(browser): right-click New Browser → 'Open in External Browser' toggle	browser.external-routing	behavior	Historical implementation or invariant for browser.external-routing.
792e04cde2bdc19ac2d7486ee3ddde9525b51514	2026-06-08	fix(taskmanager): yield full-area page when a new surface takes focus	task.resource-monitor	behavior	Historical implementation or invariant for task.resource-monitor.
83525acf3efd3285db60ea092dd1e6b48e787f28	2026-06-08	fix(close): confirm before a tab-close quits the window/app	navigation.reopen-closed	behavior	Historical implementation or invariant for navigation.reopen-closed.
73042145298d01bf8ad49bd9d0d5ec61e5f61d23	2026-06-08	feat(reopen): universal Reopen Closed Tab with scrollback + command	navigation.reopen-closed	behavior	Historical implementation or invariant for navigation.reopen-closed.
c3ff6b29c43322efd4cabcc21cfe195900b7a75f	2026-06-08	feat(sidebar): spring-load workspace switch when dragging a session onto it	navigation.sidebar-spring-load	behavior	Historical implementation or invariant for navigation.sidebar-spring-load.
0ecea42cd6ec9d7b490ae87ed4378b9623845226	2026-06-08	fix(sidebar): spring-load timer fires during drag tracking	navigation.sidebar-spring-load	behavior	Historical implementation or invariant for navigation.sidebar-spring-load.
a8c9176fea4a636f376abf336c7d142e40b12edb	2026-06-08	fix(sidebar): switch to hovered workspace immediately during session drag	navigation.sidebar-spring-load	behavior	Historical implementation or invariant for navigation.sidebar-spring-load.
3b0617edd605bba63928a3f0b9a3d57fe9c14acb	2026-06-08	fix(sidebar): spring-load on the real AppKit drop path	navigation.sidebar-spring-load	behavior	Historical implementation or invariant for navigation.sidebar-spring-load.
36cc46c30acc1b13ca6105fc284af5c798d83924	2026-06-12	chore(fork): re-apply release alignment — Sparkle/Sentry/signing/release-model/URLs	ops.fork-identity	behavior	Historical implementation or invariant for ops.fork-identity.
0b618ca0a453411958fd3d9897b7b3d44c4e5f31	2026-06-08	feat(codex): consume Mochi Codex ThreadUnsubscribe hook as session-end	agent.lifecycle-events	behavior	Historical implementation or invariant for agent.lifecycle-events.
a7a0932ab80d18b36e79569ac6d57977126eadbc	2026-06-08	feat(settings): agent session resume mode (Off/Medium/Full)	agent.resume-modes	behavior	Historical implementation or invariant for agent.resume-modes.
7e14b53b40316442e75f979ee4fbe304178a659a	2026-06-09	feat(agent): pre-type resume command when codex/claude is quit at the prompt	agent.resume-modes	behavior	Historical implementation or invariant for agent.resume-modes.
0457a34ccb638cd6cb73989bf7225e0caf441e93	2026-06-11	feat: scrollback persistence + PID-independent codex liveness	agent.scrollback-continuity	behavior	Historical implementation or invariant for agent.scrollback-continuity.
e4dc7cd47a7828a4a2b96292e29f882b9d1c4605	2026-06-12	fix(agent-resume): validate resume-paste session + alias/verbose toggle	agent.resume-modes	behavior	Historical implementation or invariant for agent.resume-modes.
26b37de636d590744901f513781e2896755510ef	2026-06-13	fix(unified): reconcile tests + CLI to tri-state/HEAD APIs after resume-paste merge	agent.resume-modes	obsolete-infrastructure	Historical integration, rebase, or CI repair to re-evaluate rather than replay for agent.resume-modes.
8d99a8d29480361794636cbd872ad916bada9464	2026-06-13	test(codex-hooks): assert ThreadUnsubscribe command via canonical builder	agent.lifecycle-events	test-support	Historical regression or CI coverage for agent.lifecycle-events.
7ccd7a18878b9e9d72abdda6d19f6712564c059f	2026-06-13	test(session): restore auto-resume-on default for SessionPersistence suite	agent.resume-modes	test-support	Historical regression or CI coverage for agent.resume-modes.
2f338e61fabb6100ee1d1aff3c39fb70f7681485	2026-06-13	test(agent-resume): medium must pre-type even when an auto-resume binding exists	agent.resume-modes	test-support	Historical regression or CI coverage for agent.resume-modes.
0d38a9e405d2231c65815502d45016b606d8c9df	2026-06-13	fix(agent-resume): medium pre-types resume command when an auto-resume binding exists	agent.resume-modes	behavior	Historical implementation or invariant for agent.resume-modes.
00b6ca551119b02f3d99500535f094ce14ac4f28	2026-06-13	fix(sparkle): correct baked public key to the real fork release key	ops.fork-identity	behavior	Historical implementation or invariant for ops.fork-identity.
805d73dbaa83d67b0011288047449a435ce3d212	2026-06-14	feat(tabs): Reveal in Finder / Copy Path for markdown + local-HTML browser tabs	files.backed-tab-actions	behavior	Historical implementation or invariant for files.backed-tab-actions.
8180160aaaa3fecb2d3c8d22f35751f0ac7a6754	2026-06-14	refactor(browser): unify external-browser control onto BrowserAvailabilitySettings	browser.external-routing	behavior	Historical implementation or invariant for browser.external-routing.
8c32296861088ef844b4b2d63b831f510f2fdcc9	2026-06-14	fix(codex-resume): defer resume binding to first turn (gate on persisted session)	agent.resume-modes	behavior	Historical implementation or invariant for agent.resume-modes.
a824436d006a6595ba2c16d6a81cd1a5b3cc4212	2026-06-14	release: cmux Mochi 0.64.151 (build 96)	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
2c424fa4b6850e58c022bd543c9ba4c14a2933e3	2026-06-14	fix(release): point vendor/bonsplit submodule at mochiexists/bonsplit fork	ops.submodule-ownership	behavior	Historical implementation or invariant for ops.submodule-ownership.
018b353e14def218a10c84827438cfc97a30fa5a	2026-06-14	ci(release): raise macOS job timeouts for GitHub-hosted runners	ops.release-lanes	obsolete-infrastructure	Historical integration, rebase, or CI repair to re-evaluate rather than replay for ops.release-lanes.
6e8a5ab198e6376d2ac8f954897749175c883496	2026-06-14	fix(release): reference the fork app bundle name 'cmux Mochi.app'	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
c6b89cfa8f62b234316dfc8f9c28fac0617e171e	2026-06-14	fix(release): channel-metadata verifier expects fork app name 'cmux Mochi'	ops.fork-identity	behavior	Historical implementation or invariant for ops.fork-identity.
447d7dde530c9a0beaf35afc3aeec6f24511ac96	2026-06-14	ci(release): skip R2 appcast mirror when CF_R2 creds absent	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
c0f31ff1ac2afc8a72902c60bf188fdffd0a1f0e	2026-06-15	docs(cmux-workspace): require explicit send-key enter to submit, deprecate \n trick	conductor.atomic-submit	docs-support	Historical documentation, skill, localization, or shipped messaging for conductor.atomic-submit.
4de0b8e3c3269439fd298959090b529a259cbb20	2026-06-15	chore(release): 0.64.152 (build 97)	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
bfba34b8fc0c36edcd9a6dce6d923bb1156be6d3	2026-06-15	ci: disable tmux-corpus + ios-testflight auto-triggers on the macOS fork	history.release-churn	obsolete-infrastructure	Historical integration, rebase, or CI repair to re-evaluate rather than replay for history.release-churn.
